GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
minesweeper-maven,default,Board,804,0,122,0,127,0,83,0,21,0
minesweeper-maven,default,Main,346,0,82,0,110,0,47,0,5,0
